OBJECTID,COMPTYPE,COMPKEY,HANSEGKEY,UNITID,UNITTYPE,BRGUNITID,UNITDESC_BRG,UNITDESC_SEG,INSTDATE,EXPDATE,STATUS,STATUSDT,CONDITION,CONDDT,OWN,LSTVERIFY,MAINTBY,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,ADDDTTM,MODDTTM,BR_NBR,BR_CODE,BR_TYPE,BR_NAME,BR_FACILITIES,BR_FEATURES,BR_RATING,BR_INSET,BR_GEO,BR_OWNER,BR_OWNER_NAME,GEOBASID,XGEOBASID,GISSEGKEY,EARTHQUAKE_RESPONSE_TEAM,Shape__Length
103638,66,511786,2923,BRG-007, ,BRG-007,2ND AVE EXTENSION S                                                                                                                                                                                                                                            ,2ND AV ET S BETWEEN 4TH AVE S AND S JACKSON ST                                                                                                                                                                                                                 ,,, ,, ,, ,, ,DISTRICT2, ,N,,12/21/2009 12:00:00 AM,5/7/2018 12:00:00 AM,7,   7,E,2ND AVE S EXTENSION,2ND AVE S EXTENSION,RAILROAD,1,2,S,SDOT,Seattle Dept. of Transportation,10120010,0,2923,BRGTEAM-N,388.223868780755
103639,66,511842,11365,BRG-059, ,BRG-059,LENORA ST PED /RR                                                                                                                                                                                                                                              ,LENORA ST BETWEEN DEAD END AND WESTERN AVE                                                                                                                                                                                                                     ,,, ,, ,, ,, ,DISTRICT7, ,N,,12/21/2009 12:00:00 AM,12/27/2012 12:00:00 AM,59,  59,PS,LENORA ST / ALASKAN WAY,LENORA ST (CLOSED),ALASKAN WAY,2,1,DT,PS,Other,81950005,0,11365, ,193.42221050957
103640,66,538662,12240,BRG-298A, ,BRG-298A,420 PONTIUS AVE N ET AL                                                                                                                                                                                                                                        ,PONTIUS AVE N BETWEEN HARRISON ST AND REPUBLICAN ST                                                                                                                                                                                                            ,,, ,, ,, ,, ,DISTRICT7, ,N,,11/15/2010 12:00:00 AM,2/29/2012 12:00:00 AM,0, , ,420 PONTIUS AVE N ET AL, , ,0,0, , , ,,,12240, ,28.5989761022373
103641,66,511812,11731,BRG-029, ,BRG-029,MCGRAW ST BR                                                                                                                                                                                                                                                   ,MCGRAW ST BETWEEN 2ND E AVE N AND MCGRAW NR ST                                                                                                                                                                                                                 ,,, ,, ,, ,, ,DISTRICT7, ,N,,12/21/2009 12:00:00 AM,3/25/2011 12:00:00 AM,29,  29,E,MC GRAW ST BRIDGE,MC GRAW ST,RAVINE,5,0,QA,SDOT,Seattle Dept. of Transportation,85800050,0,11731, ,353.325668993483
103642,66,511963,5515,BRG-214, ,BRG-214,W ELMORE ST SEWER TRESTLE                                                                                                                                                                                                                                      ,35TH AVE W BETWEEN DEAD END 2 AND W GOVERNMENT WAY                                                                                                                                                                                                             ,,, ,, ,, ,, ,DISTRICT7, ,N,,12/21/2009 12:00:00 AM,9/16/2010 12:00:00 AM,214,214, , , , ,0,0, , ,Other,0,0,5515, ,419.557138984754
103643,66,511883,16861,BRG-094EA, ,BRG-094EA,NE 45TH ST VIADUCT - E APPR                                                                                                                                                                                                                                    ,NE 45TH ST BETWEEN NE 45TH ST RP AND MONTLAKE BLVD NE                                                                                                                                                                                                          ,,, ,, ,, ,, ,DISTRICT4, ,N,,12/21/2009 12:00:00 AM,4/5/2011 12:00:00 AM,94,  94E,E,NE 45TH ST VIADUCT EAST APPR,NE 45TH ST,RAVINE,2,0,NE,SDOT,Seattle Dept. of Transportation,132850260,0,16861, ,281.783875362376
103644,66,515743,491789,BRG-897, ,BRG-897,EXP-GALER-LAKEVIEW VIADUCT                                                                                                                                                                                                                                     ,I5 EXPRESS BETWEEN MERCER ST I5 EXPRESS RP AND I5 EXPRESS NE 42 RP                                                                                                                                                                                             ,,, ,, ,, ,, ,DISTRICT3,DISTRICT4,N,,1/21/2010 12:00:00 AM,,897, 897,ST,EXP-GALER-LAKEVIEW VIADUCT,SR 5, ,1,0,CE,DOT,State of Washington,80900140,0,491789, ,2015.01833937929
103645,66,511983,340109,BRG-248, ,BRG-248,W PROSPECT ST PED /RR                                                                                                                                                                                                                                          ,W PROSPECT ST BETWEEN ELLIOTT AVE W AND DEAD END 2                                                                                                                                                                                                             ,,, ,, ,, ,, ,DISTRICT7, ,N,,12/21/2009 12:00:00 AM,4/5/2011 12:00:00 AM,248,248, ,HELIX SKY BRIDGE, , ,0,0, , ,Other,999999,0,340109, ,397.688126988993
103646,66,515700,13324,BRG-836, ,BRG-836,EB LANES SR 5 OC                                                                                                                                                                                                                                               ,WEST SEATTLE BR EB BETWEEN W SEATTLE BR - I5 NB RP AND S COLUMBIAN EB WAY                                                                                                                                                                                      ,,, ,, ,, ,, ,DISTRICT2, ,N,,1/21/2010 12:00:00 AM,,836, 836,ST,EB LANES SR 5 OC,SPOKANE ST RAMP,SR 5,1,3,S,DOT,State of Washington,0,0,13324, ,2325.20915927452
103647,66,515735,491951,BRG-883, ,BRG-883,I-5 SB / NE RAVENNA BLVD                                                                                                                                                                                                                                       ,I5 SB BETWEEN 45TH ST OFF RP AND NE LAKE CITY WY ON RP                                                                                                                                                                                                         ,,, ,, ,, ,, ,DISTRICT6, ,N,,1/21/2010 12:00:00 AM,9/15/2010 12:00:00 AM,883, 883,ST,RAVENNA BLVD OC,SR 5 NB,NE RAVENNA BLVD,1,0,NE,DOT,State of Washington,140100050,0,491951, ,1438.19258176517
103648,66,526180,20033,BRG-700A, ,BRG-700A,O&M FACILITY UNIT A (CROSSES S FOREST ST)                                                                                                                                                                                                                      ,S FOREST ST BETWEEN DEAD END 3 AND 6TH AVE S                                                                                                                                                                                                                   ,,, ,, ,, ,, ,DISTRICT2, ,N,,4/7/2010 12:00:00 AM,1/7/2011 12:00:00 AM,0, , , , , ,0,0, , , ,,,20033, ,434.626177270506
103649,66,515734,491885,BRG-882, ,BRG-882,S-45TH RAMP 50TH S OC                                                                                                                                                                                                                                          ,45TH ST OFF RP BETWEEN I5 SB AND 5TH AVE NE                                                                                                                                                                                                                    ,,, ,, ,, ,, ,DISTRICT6,DISTRICT4,N,,1/21/2010 12:00:00 AM,,882, 882,ST,S-45TH RAMP 50TH S OC,SR 5 NB,5TH AVE NE - SR 5 ON RAMP SB,2,0,NE,DOT,State of Washington,0,38950100,491885, ,763.861567015831
103650,66,512018,16368,BRG-5/589, ,BRG-5/589,NE 117TH OVER I-5                                                                                                                                                                                                                                              ,NE 117TH ST BETWEEN 1ST AVE NE AND 1ST PL NE                                                                                                                                                                                                                   ,,, ,, ,, ,, ,DISTRICT5, ,N,,12/21/2009 12:00:00 AM,6/6/2024 12:00:00 AM,302, 302,ST,NE 117TH ST / I-5,NE 117TH ST,SR 5,4,0,NE,DOT,State of Washington,129300002,0,16368, ,334.049956732399
103651,66,511806,11902,BRG-022, ,BRG-022,MONTLAKE BR                                                                                                                                                                                                                                                    ,MONTLAKE BR BETWEEN MONTLAKE BLVD E AND POINT A                                                                                                                                                                                                                ,,, ,, ,, ,, ,DISTRICT4,DISTRICT3,N,,12/21/2009 12:00:00 AM,4/5/2011 12:00:00 AM,22,  22,ST,MONTLAKE BRIDGE,MONTLAKE BLVD E,LAKE WASHINGTON SHIP CANAL,2,0,NE,DOT,State of Washington,86850010,0,11902, ,216.636410248145
103652,66,511947,5236,BRG-158, ,BRG-158,34TH AVE NE /THORNTON CULVERT                                                                                                                                                                                                                                  ,34TH AVE NE BETWEEN NE 115TH ST AND 35TH AVE NE                                                                                                                                                                                                                ,,, ,, ,, ,, ,DISTRICT5, ,N,,12/21/2009 12:00:00 AM,4/5/2011 12:00:00 AM,0,158, , , , ,0,0, , , ,,,5236, ,75.0779357017657
103653,66,511844,10624,BRG-060S, ,BRG-060S,ELLIOTT BAY MARINA - S RAMP                                                                                                                                                                                                                                    ,W GARFIELD ST ON RP BETWEEN MAGNOLIA BR AND W GARFIELD ST ACCESS RD                                                                                                                                                                                            ,,, ,, ,, ,, ,DISTRICT7, ,N,,12/21/2009 12:00:00 AM,4/5/2011 12:00:00 AM,60, ,E,ELLIOTT BAY MARINA BR, , ,0,0,MA,SDOT,Seattle Dept. of Transportation,0,0,10624, ,876.636750141214
103654,66,520723,527192,BRG-246, ,BRG-246,ROYAL BROUGHAM /RR                                                                                                                                                                                                                                             ,S ROYAL BROUGHAM WAY BR BETWEEN OCCIDENTAL AVE S AND 3RD AVE S                                                                                                                                                                                                 ,,, ,, ,, ,, ,DISTRICT2, ,N,,3/23/2010 12:00:00 AM,9/16/2010 12:00:00 AM,0, , , , , ,0,0, , , ,,,527192, ,1061.9086467481
103655,66,515778,491392,BRG-939, ,BRG-939,CONNECTICUT ST INTERCHANGE                                                                                                                                                                                                                                     ,I5 NB - I90 EB ON RP BETWEEN I5 NB COLLECTOR AND I90 EB                                                                                                                                                                                                        ,,, ,, ,, ,, ,DISTRICT2, ,N,,1/21/2010 12:00:00 AM,,939, 939,ST,CONNECTICUT ST INTERCHANGE,SR 5 OFFR TO SR 90 ONR,12TH AVE S,1,2,S,DOT,State of Washington,0,0,491392, ,314.633888034962
103656,66,511918,8713,BRG-131ER, ,BRG-131ER,WS HIGHRISE - E APPR RAMP                                                                                                                                                                                                                                      ,S SPOKANE ST RP BETWEEN SR99 SB AND WSB-WB SPOK-NR RP                                                                                                                                                                                                          ,,, ,, ,, ,, ,DISTRICT2, ,N,,12/21/2009 12:00:00 AM,4/5/2011 12:00:00 AM,131, 131E,E,W SEATTLE FREEWAY (EAST),SW SPOKANE ST,"W/E MARGINAL,DELRIDGE,DUWAMISH",1,0,SW,SDOT,Seattle Dept. of Transportation,0,0,8713, ,4747.18682988107
103657,66,511973,23361,BRG-230, ,BRG-230,W GALER ST FLYOVER                                                                                                                                                                                                                                             ,W GALER ST FLYOVER BETWEEN MAGNOLIA BR WB AND PIER 91 ACCESS RD                                                                                                                                                                                                ,,, ,, ,, ,, ,DISTRICT7, ,N,,12/21/2009 12:00:00 AM,4/1/2010 12:00:00 AM,230,230, ,GALER ST FLYOVER, , ,0,0, ,SDOT,Seattle Dept. of Transportation,186150200,0,23361, ,1155.60558527845
103658,66,515687,491050,BRG-823, ,BRG-823,N-W RAMP SR 5 OC                                                                                                                                                                                                                                               ,I5 NB - W SEATTLE BR RP BETWEEN I5 NB - 6TH AV S RP AND WEST SEATTLE BR WB                                                                                                                                                                                     ,,, ,, ,, ,, ,DISTRICT2, ,N,,1/21/2010 12:00:00 AM,,823, 823,ST,N-W RAMP SR 5 OC,SR 5 RAMP SB,"SR 5, SPOKANE ST RAMP",1,3,S,DOT,State of Washington,0,0,491050, ,1850.33786631539
103659,66,511873,8936,BRG-99/570, ,BRG-99/570,SR 99 OVER N 50TH ST                                                                                                                                                                                                                                           ,AURORA AVE N BETWEEN N 50 UPPER ST AND N 59TH ST                                                                                                                                                                                                               ,,, ,, ,, ,, ,DISTRICT6, ,N,,12/21/2009 12:00:00 AM,6/6/2024 12:00:00 AM,87,  87,ST,AURORA AVE N / N 50TH ST,SR 99,N 50TH ST,1,0,NO,DOT,State of Washington,52500490,0,8936, ,137.535474746886
103660,66,511793,10484,BRG-012A, ,BRG-012A,FREMONT BR - APPRS                                                                                                                                                                                                                                             ,FREMONT AVE N BETWEEN FREMONT BR AND N 34TH ST                                                                                                                                                                                                                 ,,, ,, ,, ,, ,DISTRICT6, ,N,,12/21/2009 12:00:00 AM,5/7/2018 12:00:00 AM,12,  12N,E,FREMONT BRIDGE N APPROACH,FREMONT AVE N,BUSINESS ACCESS ROADS,2,0,NO,SDOT,Seattle Dept. of Transportation,68700010,0,10484,BRGTEAM-H,566.342465181422
103661,66,515749,491952,BRG-900, ,BRG-900,EXP RAVENNA BLVD OC                                                                                                                                                                                                                                            ,I5 EXPRESS BETWEEN RAVENNA BV I5 EXPRESS RP AND I5 EXPRESS LAKE CITY RP                                                                                                                                                                                        ,,, ,, ,, ,, ,DISTRICT6,DISTRICT4,N,,1/21/2010 12:00:00 AM,,900, 900,ST,EXP RAVENNA BLVD OC,SR 5,NE RAVENNA BLVD,1,0,NE,DOT,State of Washington,140100050,0,491952, ,652.503931576355
103662,66,511805,16155,BRG-021, ,BRG-021,20TH AVE NE /THORNTON CK                                                                                                                                                                                                                                       ,NE 100TH ST BETWEEN DEAD END AND 21ST AVE NE                                                                                                                                                                                                                   ,,, ,, ,, ,, ,DISTRICT5, ,N,,12/21/2009 12:00:00 AM,8/26/2014 12:00:00 AM,21,  21,E,20TH AVE N / NE 98TH ST,PEDESTRIANS,THORNTON CREEK,5,0,NE,SDOT,Seattle Dept. of Transportation,0,127700100,16155, ,38.8675580560902
103663,66,515759,1273,BRG-916, ,BRG-916,S-S RAMP BR S-E RAMP OC                                                                                                                                                                                                                                        ,1ST AV S OFF RP BETWEEN SR509 SB AND 1ST S AVE S                                                                                                                                                                                                               ,,, ,, ,, ,, ,DISTRICT1, ,N,,1/21/2010 12:00:00 AM,,916, 916,ST,S-S RAMP BR S-E RAMP OC,1ST AVE S RAMP, ,1,0,S,DOT,State of Washington,550080,0,1273, ,153.627337963441
103664,66,511924,275618,BRG-135, ,BRG-135,13TH AVE NW PED /HOLMAN                                                                                                                                                                                                                                        ,HOLMAN RD NW BETWEEN 13TH W AVE NW AND 13TH E AVE NW                                                                                                                                                                                                           ,,, ,, ,, ,, ,DISTRICT6, ,N,,12/21/2009 12:00:00 AM,5/3/2018 12:00:00 AM,135, 135,E,13TH AVE NW / HOLMAN RD NW,PEDESTRIANS,HOLMAN RD NW,1,0,NO,SDOT,Seattle Dept. of Transportation,3950120,0,275618,BRGTEAM-C,133.279312474519
103665,66,511857,22630,BRG-071, ,BRG-071,SW NEVADA ST /LONGFELLOW CK                                                                                                                                                                                                                                    ,SW NEVADA ST BETWEEN 26TH AVE SW AND 28TH AVE SW                                                                                                                                                                                                               ,,, ,, ,, ,, ,DISTRICT1, ,N,,12/21/2009 12:00:00 AM,4/5/2011 12:00:00 AM,71,  71,E,SW NEVADA ST / LONGFELLOW CRK,SW NEVADA ST,LONGFELLOW CREEK,5,0,SW,SDOT,Seattle Dept. of Transportation,0,175850108,22630, ,134.239627594185
103666,66,511823,13345,BRG-038, ,BRG-038,FAUNTLEROY EXPRESSWAY                                                                                                                                                                                                                                          ,WEST SEATTLE BR WB BETWEEN SW ADMIRAL WY OFF RP AND POINT A                                                                                                                                                                                                    ,,, ,, ,, ,, ,DISTRICT1, ,N,,12/21/2009 12:00:00 AM,5/3/2018 12:00:00 AM,38,  38,E,FAUNTLEROY EXPRESSWAY,FAUNTLEROY WAY,HARBOR AVE SW ET AL,1,0,SW,SDOT,Seattle Dept. of Transportation,102600250,0,13345,BRGTEAM-A,1106.9149289479
103667,66,515711,491396,BRG-852, ,BRG-852,SR 5 OC S-E RAMP                                                                                                                                                                                                                                               ,I90 WB ON RP BETWEEN I5 SB COLLECTOR AND I90 WB OFF RP                                                                                                                                                                                                         ,,, ,, ,, ,, ,DISTRICT2, ,N,,1/21/2010 12:00:00 AM,,852, 852,ST,SR 5 OC S-E RAMP,SR 5 RAMP SB,SR 5 AND SR 5 ON RAMPS,1,2,S,DOT,State of Washington,0,0,491396, ,541.841343745746
103668,66,511828,11218,BRG-042, ,BRG-042,LESCHI PARK BR                                                                                                                                                                                                                                                 ,LAKE WASHINGTON BLVD S BETWEEN E YESLER WAY AND 35TH AVE S                                                                                                                                                                                                     ,,, ,, ,, ,, ,DISTRICT3, ,N,,12/21/2009 12:00:00 AM,3/25/2011 12:00:00 AM,42,  42,PK,LESCHI PARK BRIDGE,YESLER WAY (ROW),BLAINE BLVD (PARK),5,0,CE,PRKS,Other,116900260,0,11218, ,218.056658092027
103669,66,531731,492950,BRG-894, ,BRG-894,I-5 N RAMP /NORTHGATE WAY                                                                                                                                                                                                                                      ,1ST AV NE I5 NB ON RP BETWEEN 1ST AVE NE AND NORTHGATE I5 NB ON RP                                                                                                                                                                                             ,,, ,, ,, ,, ,DISTRICT5, ,N,,9/17/2010 12:00:00 AM,,0, , , , , ,0,0, , , ,,,492950, ,214.536307196252
103670,66,515762,493061,BRG-923, ,BRG-923,PORTAGE BAY                                                                                                                                                                                                                                                    ,SR520 EB BETWEEN I5 NB SR520 EB ON RP AND SR520 EB MONTLAKE BV OFF RP                                                                                                                                                                                          ,,, ,, ,, ,, ,DISTRICT3, ,N,,1/21/2010 12:00:00 AM,,923, 923,ST,PORTAGE BAY,SR 520,BOYER AVE E,2,0,CE,DOT,State of Washington,0,112200020,493061, ,2839.33525350703
103671,66,511985,20936,BRG-250, ,BRG-250,S NORFOLK ST & 42ND AVE                                                                                                                                                                                                                                        ,S NORFOLK ST BETWEEN 40TH AVE S AND M L KING JR WR WAY S                                                                                                                                                                                                       ,,, ,, ,, ,, ,DISTRICT2, ,N,,12/21/2009 12:00:00 AM,3/25/2011 12:00:00 AM,250,250, ,S NORFOLK/42ND AV S PED BRIDGE, , ,0,0, ,PRIV,Other,0,0,20936, ,110.366113542897
103672,66,531734,7884,BRG-235, ,BRG-235,PINE CENTER SKYBRIDGE                                                                                                                                                                                                                                          ,6TH AVE BETWEEN PINE ST AND OLIVE WAY                                                                                                                                                                                                                          ,,, ,, ,, ,, ,DISTRICT7, ,N,,9/17/2010 12:00:00 AM,,0, , , , , ,0,0, , , ,,,7884, ,58.23093100753
103673,66,531728,10357,BRG-070A, ,BRG-070A,FAIRVIEW /E NELSON PED                                                                                                                                                                                                                                         ,FAIRVIEW AVE N BETWEEN YALE AVE N AND FAIRVIEW AVE E                                                                                                                                                                                                           ,,, ,, ,, ,, ,DISTRICT3, ,N,,9/17/2010 12:00:00 AM,1/11/2013 12:00:00 AM,0,70A, , , , ,0,0, , , ,,,10357, ,67.4237889896171
103674,66,515732,491691,BRG-877, ,BRG-877,NEWTON - S RAMP BRIDGE                                                                                                                                                                                                                                         ,BOYLSTON AV E ON RP BETWEEN BOYLSTON AVE E AND I5 SB                                                                                                                                                                                                           ,,, ,, ,, ,, ,DISTRICT4, ,N,,1/21/2010 12:00:00 AM,,877, 877,ST,NEWTON - S RAMP BRIDGE,BOYLSTON - SR 5 ON RAMP, ,5,0,CE,DOT,State of Washington,0,68550010,491691, ,825.976690854256
103675,66,515767,493125,BRG-929, ,BRG-929,N-E RAMP BR                                                                                                                                                                                                                                                    ,LK WASH BV ON RP BETWEEN SR520 EB AND LAKE WASHINGTON BLVD E                                                                                                                                                                                                   ,,, ,, ,, ,, ,DISTRICT3, ,N,,1/21/2010 12:00:00 AM,,929, 929,ST,N-E RAMP BR,SR 520 ON RAMP EB,UNION BAY,2,0,CE,DOT,State of Washington,0,112200020,493125, ,2099.43347730555
103676,66,515761,491758,BRG-922, ,BRG-922,W-S RAMP SR 5 OC                                                                                                                                                                                                                                               ,SR520 WB I5 SB RP BETWEEN SR520 WB AND I5 SB                                                                                                                                                                                                                   ,,, ,, ,, ,, ,DISTRICT3,DISTRICT4,N,,1/21/2010 12:00:00 AM,,922, 922,ST,W-S RAMP SR 5 OC,SR 520 OFFR AND SR 5 OR,SR 5 RAMP SB & SR 520 OR EB,1,0,CE,DOT,State of Washington,112200020,0,491758, ,349.165919762019
103677,66,511984,13880,BRG-249, ,BRG-249,SU PED /E JAMES WAY                                                                                                                                                                                                                                            ,E CHERRY ST BETWEEN E JAMES WAY AND 12TH AVE                                                                                                                                                                                                                   ,,, ,, ,, ,, ,DISTRICT3, ,N,,12/21/2009 12:00:00 AM,4/5/2011 12:00:00 AM,249,249, ,SEATTLE UNIVERSITY PED BRIDGE, , ,0,0, , ,Other,0,0,13880, ,75.7015671315509
103678,66,511929,23219,BRG-140, ,BRG-140,W DRAVUS ST /15TH AVE W                                                                                                                                                                                                                                        ,W DRAVUS ST BETWEEN 15TH AV W NB OFF RP AND 15TH AV W SB OFF RP                                                                                                                                                                                                ,,, ,, ,, ,, ,DISTRICT7, ,N,,12/21/2009 12:00:00 AM,5/3/2018 12:00:00 AM,140, 140,E,W DRAVUS ST / 15TH AVE W,W DRAVUS ST,15TH AVE W,1,0,QA,SDOT,Seattle Dept. of Transportation,185250140,0,23219,BRGTEAM-D,127.104570983026
103679,66,511895,9081,BRG-107, ,BRG-107,BATTERY ST TUNNEL                                                                                                                                                                                                                                              ,BATTERY ST TUNNEL SB BETWEEN AURORA AVE N AND ALASKAN WY VI SB                                                                                                                                                                                                 ,,, ,, ,, ,, ,DISTRICT7, ,N,,12/21/2009 12:00:00 AM,12/28/2009 12:00:00 AM,107, 107,ST,BATTERY STREET TUNNEL,SR 99,DOWNTOWN SEATTLE STREETS,1,1,DT,DOT,State of Washington,53550030,0,9081, ,1976.42534065857
103680,66,515694,491024,BRG-829, ,BRG-829,W-S RAMP N-W RAMP OC                                                                                                                                                                                                                                           ,COLUMBIAN WY - I5 SB RP BETWEEN S COLUMBIAN WB WAY AND I5 SB                                                                                                                                                                                                   ,,, ,, ,, ,, ,DISTRICT2, ,N,,1/21/2010 12:00:00 AM,,829, 829,ST,W-S RAMP N-W RAMP OC,SR 5 RAMP SB,SPOKANE ST & SR 5 RAMP SB,2,3,S,DOT,State of Washington,0,0,491024, ,1757.90255104472
103681,66,515667,491016,BRG-806, ,BRG-806,LUCILE ST OC                                                                                                                                                                                                                                                   ,I5 NB BETWEEN BAILEY ST ON RP AND I5 NB - W SEATTLE BR RP                                                                                                                                                                                                      ,,, ,, ,, ,, ,DISTRICT2, ,N,,1/21/2010 12:00:00 AM,,806, 806,ST,LUCILE ST OC,SR 5,S LUCILE ST,1,0,S,DOT,State of Washington,0,164950115,491016, ,197.15833144623
103682,66,511916,16871,BRG-130, ,BRG-130,NE 47TH AVE NE PED /NE 45TH                                                                                                                                                                                                                                    ,NE 45TH ST BETWEEN 46TH AVE NE AND 47TH AVE NE                                                                                                                                                                                                                 ,,, ,, ,, ,, ,DISTRICT4, ,N,,12/21/2009 12:00:00 AM,1/3/2013 12:00:00 AM,130, 130,E,NE 45TH ST PEDESTRIAN BR,PEDESTRIANS,NE 45TH ST,5,0,NE,SDOT,Seattle Dept. of Transportation,0,132850380,16871, ,219.455119392998
